"county","year","month","All causes (total)","Alzheimer's disease","Malignant neoplasms","Chronic lower respiratory diseases","Diabetes mellitus","Assault (homicide)","Diseases of heart","Essential hypertension and hypertensive renal disease","Accidents (unintentional injuries)","Chronic liver disease and cirrhosis","Nephritis, nephrotic syndrome and nephrosis","Parkinson's disease","Influenza and pneumonia","Cerebrovascular diseases","Intentional self-harm (suicide)"
"Yolo",2012,3,100,0,30,0,0,0,19,0,0,0,0,0,0,0,0
"Yuba",2012,3,64,0,18,0,0,0,14,0,0,0,0,0,0,0,0
"Alameda",2012,4,738,37,187,29,34,17,141,17,32,15,0,0,15,55,0
"Alpine",2012,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amador",2012,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butte",2012,4,232,23,39,18,0,0,60,0,17,0,0,0,0,0,0
"Calaveras",2012,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colusa",2012,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Contra Costa",2012,4,597,34,134,38,0,0,126,11,29,0,0,11,12,33,0
"Del Norte",2012,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Dorado",2012,4,87,0,17,0,0,0,30,0,0,0,0,0,0,0,0
"Fresno",2012,4,547,29,94,25,21,0,147,12,38,0,0,0,12,37,0
"Glenn",2012,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Humboldt",2012,4,108,0,19,0,0,0,30,0,0,0,0,0,0,0,0
"Imperial",2012,4,65,0,0,0,0,0,20,0,0,0,0,0,0,0,0
"Inyo",2012,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kern",2012,4,432,15,77,33,21,0,101,0,39,0,0,0,0,22,0
"Kings",2012,4,55,0,12,0,0,0,15,0,0,0,0,0,0,0,0
"Lake",2012,4,48,0,13,0,0,0,12,0,0,0,0,0,0,0,0
"Lassen",2012,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Los Angeles",2012,4,4972,189,1173,273,190,52,1409,96,139,110,71,32,197,295,61
"Madera",2012,4,58,0,0,0,0,0,20,0,0,0,0,0,0,0,0
"Marin",2012,4,149,13,32,0,0,0,34,0,0,0,0,0,0,0,0
"Mariposa",2012,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mendocino",2012,4,55,0,15,0,0,0,16,0,0,0,0,0,0,0,0
"Merced",2012,4,104,0,27,0,0,0,20,0,0,0,0,0,0,0,0
"Modoc",2012,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mono",2012,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monterey",2012,4,190,0,41,0,0,0,38,0,13,0,0,0,0,15,0
"Napa",2012,4,93,0,20,0,0,0,31,0,0,0,0,0,0,0,0
"Nevada",2012,4,75,0,18,0,0,0,15,0,0,0,0,0,0,0,0
"Orange",2012,4,1616,113,383,87,42,0,404,16,58,26,19,19,53,102,31
"Placer",2012,4,268,12,60,14,0,0,64,0,0,0,0,0,0,14,0
"Plumas",2012,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riverside",2012,4,1148,54,261,81,26,0,358,17,67,13,0,0,16,51,17
"Sacramento",2012,4,913,29,192,65,33,0,210,14,41,17,0,11,17,48,17
"San Benito",2012,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Bernardino",2012,4,1088,32,235,92,52,0,275,17,60,27,0,0,12,55,21
"San Diego",2012,4,1757,112,430,92,47,0,396,29,95,32,0,26,20,88,35
"San Francisco",2012,4,489,21,126,17,0,0,100,0,23,0,0,0,12,26,11
"San Joaquin",2012,4,379,22,71,36,0,0,85,0,17,0,0,0,0,20,0
"San Luis Obispo",2012,4,198,0,44,0,0,0,49,0,0,0,0,0,0,19,0
"San Mateo",2012,4,405,31,99,15,0,0,107,0,17,0,0,0,13,26,0
"Santa Barbara",2012,4,243,14,62,0,0,0,65,0,0,0,0,0,0,14,0
"Santa Clara",2012,4,855,60,219,49,36,12,171,29,33,13,0,0,29,37,0
"Santa Cruz",2012,4,111,0,33,0,0,0,23,0,0,0,0,0,0,0,0
"Shasta",2012,4,186,11,33,19,0,0,50,0,0,0,0,0,0,0,0
"Sierra",2012,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Siskiyou",2012,4,39,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Solano",2012,4,236,17,51,13,0,0,46,0,0,0,0,0,14,0,0
"Sonoma",2012,4,314,24,75,19,0,0,69,0,0,0,0,0,0,24,0
"Stanislaus",2012,4,365,19,72,25,14,0,84,0,17,0,0,0,0,22,0
"Sutter",2012,4,32,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"Tehama",2012,4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trinity",2012,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tulare",2012,4,237,0,49,17,0,0,69,0,12,0,0,0,0,17,0
"Tuolumne",2012,4,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ventura",2012,4,411,26,90,20,12,0,113,0,15,0,0,0,0,20,0
"Yolo",2012,4,91,0,26,0,0,0,18,0,0,0,0,0,0,0,0
"Yuba",2012,4,64,0,0,0,0,0,18,0,0,0,0,0,0,0,0
"Alameda",2012,5,796,34,182,30,34,0,176,21,32,19,0,0,17,61,14
"Alpine",2012,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amador",2012,5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butte",2012,5,209,17,46,15,0,0,46,0,13,0,0,0,0,14,0
"Calaveras",2012,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colusa",2012,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Contra Costa",2012,5,589,32,158,25,16,0,120,15,16,12,11,0,0,41,0
"Del Norte",2012,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Dorado",2012,5,102,0,26,11,0,0,23,0,0,0,0,0,0,0,0
"Fresno",2012,5,531,25,119,27,13,0,114,17,25,11,0,0,14,28,0
"Glenn",2012,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Humboldt",2012,5,110,0,28,0,0,0,25,0,0,0,0,0,0,0,0
"Imperial",2012,5,57,0,11,0,0,0,13,0,0,0,0,0,0,0,0
"Inyo",2012,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kern",2012,5,404,17,77,26,21,0,96,0,22,0,0,0,11,19,0
"Kings",2012,5,59,0,16,0,0,0,17,0,0,0,0,0,0,0,0
"Lake",2012,5,59,0,12,0,0,0,17,0,0,0,0,0,0,0,0
"Lassen",2012,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Los Angeles",2012,5,4786,184,1161,230,161,47,1318,115,163,119,55,33,153,284,67
"Madera",2012,5,60,0,0,0,0,0,25,0,0,0,0,0,0,0,0
"Marin",2012,5,165,12,46,0,0,0,37,0,0,0,0,0,0,13,0
"Mariposa",2012,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mendocino",2012,5,72,0,13,0,0,0,29,0,0,0,0,0,0,0,0
"Merced",2012,5,101,0,20,0,0,0,26,0,0,0,0,0,0,0,0
"Modoc",2012,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mono",2012,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monterey",2012,5,176,0,51,11,0,0,38,0,0,0,0,0,0,0,0
"Napa",2012,5,89,0,19,0,0,0,24,0,0,0,0,0,0,0,0
"Nevada",2012,5,72,0,19,0,0,0,19,0,0,0,0,0,0,0,0
"Orange",2012,5,1457,100,363,85,31,0,357,16,56,23,20,12,35,94,18
"Placer",2012,5,243,0,62,0,0,0,59,0,0,0,0,0,0,0,0
"Plumas",2012,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riverside",2012,5,1158,50,266,96,29,0,324,13,53,18,13,19,15,68,25
"Sacramento",2012,5,914,36,258,37,21,0,208,20,37,16,0,0,15,58,21
"San Benito",2012,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Bernardino",2012,5,1046,39,240,59,43,19,265,24,42,17,11,13,14,51,14
"San Diego",2012,5,1711,101,416,93,62,0,407,32,81,36,0,21,25,102,36
"San Francisco",2012,5,475,15,119,18,0,0,106,0,32,0,0,0,13,17,0
"San Joaquin",2012,5,406,23,89,32,18,0,94,0,20,0,0,0,11,17,0
"San Luis Obispo",2012,5,155,0,35,0,0,0,37,0,0,0,0,0,0,20,0
"San Mateo",2012,5,370,24,91,15,0,0,93,0,0,11,0,0,11,17,0
"Santa Barbara",2012,5,258,13,55,0,0,0,84,0,14,0,0,0,0,13,0
"Santa Clara",2012,5,846,53,235,43,39,0,185,29,41,0,0,11,17,34,18
"Santa Cruz",2012,5,149,0,26,0,0,0,34,0,0,0,0,0,0,0,0
"Shasta",2012,5,165,0,34,0,0,0,42,0,0,0,0,0,0,13,0
"Sierra",2012,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Siskiyou",2012,5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solano",2012,5,225,16,66,18,0,0,47,0,0,0,0,0,0,0,0
"Sonoma",2012,5,330,22,85,20,0,0,62,0,29,0,0,0,0,16,0
"Stanislaus",2012,5,350,16,77,28,11,0,87,0,15,0,0,0,15,23,0
"Sutter",2012,5,43,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"Tehama",2012,5,49,0,18,0,0,0,0,0,0,0,0,0,0,0,0
"Trinity",2012,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tulare",2012,5,217,0,42,13,0,0,68,0,11,0,0,0,0,13,0
"Tuolumne",2012,5,57,0,15,0,0,0,14,0,0,0,0,0,0,0,0
"Ventura",2012,5,395,22,88,30,11,0,88,11,18,0,0,0,0,22,0
"Yolo",2012,5,88,11,22,0,0,0,14,0,0,0,0,0,0,0,0
"Yuba",2012,5,41,0,0,0,0,0,15,0,0,0,0,0,0,0,0
"Alameda",2012,6,714,31,199,35,22,0,122,19,33,0,13,11,0,31,18
"Alpine",2012,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amador",2012,6,36,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Butte",2012,6,194,0,50,13,0,0,35,0,11,0,0,0,0,0,0
"Calaveras",2012,6,30,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"Colusa",2012,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Contra Costa",2012,6,559,26,153,36,0,0,127,0,30,0,0,0,0,33,0
"Del Norte",2012,6,26,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"El Dorado",2012,6,92,0,28,0,0,0,20,0,0,0,0,0,0,0,0
"Fresno",2012,6,531,24,103,19,18,17,117,20,38,0,0,0,16,29,0
"Glenn",2012,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Humboldt",2012,6,96,0,21,12,0,0,18,0,0,0,0,0,0,0,0
"Imperial",2012,6,77,0,14,0,0,0,24,0,0,0,0,0,0,0,0
"Inyo",2012,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kern",2012,6,409,14,82,26,22,0,77,0,45,0,0,0,0,15,12
"Kings",2012,6,57,0,11,0,0,0,11,0,0,0,0,0,0,0,0
"Lake",2012,6,56,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Lassen",2012,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Los Angeles",2012,6,4483,172,1158,197,177,52,1200,76,143,90,64,45,154,253,57
"Madera",2012,6,66,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"Marin",2012,6,156,13,38,0,0,0,44,0,0,0,0,0,0,11,0
"Mariposa",2012,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mendocino",2012,6,65,0,13,0,0,0,16,0,0,0,0,0,0,0,0
"Merced",2012,6,94,0,18,0,0,0,21,0,12,0,0,0,0,0,0
"Modoc",2012,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mono",2012,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monterey",2012,6,180,0,46,14,0,0,33,0,0,0,0,0,0,12,0
"Napa",2012,6,99,0,26,0,0,0,25,0,0,0,0,0,0,0,0
"Nevada",2012,6,58,0,13,0,0,0,17,0,0,0,0,0,0,0,0
"Orange",2012,6,1427,107,363,54,42,0,351,24,59,17,22,12,45,88,24
"Placer",2012,6,278,24,63,22,0,0,66,0,16,0,0,0,0,18,0
"Plumas",2012,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riverside",2012,6,1047,47,276,65,29,0,258,14,59,20,15,11,15,51,28
"Sacramento",2012,6,890,36,200,37,18,0,202,16,46,13,0,0,12,69,15
"San Benito",2012,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Bernardino",2012,6,998,28,228,78,46,0,255,12,37,17,17,0,0,56,21
"San Diego",2012,6,1621,87,405,84,53,16,356,27,106,24,0,13,21,83,38
"San Francisco",2012,6,491,20,139,16,0,12,91,0,27,0,0,0,0,33,0
"San Joaquin",2012,6,370,17,87,19,15,0,85,0,28,0,0,0,11,14,0
"San Luis Obispo",2012,6,172,0,37,0,0,0,45,0,0,0,0,0,0,15,0
"San Mateo",2012,6,386,29,99,15,0,0,95,0,11,0,0,0,11,25,0
"Santa Barbara",2012,6,234,0,53,0,0,0,55,0,0,0,0,0,0,18,0
"Santa Clara",2012,6,838,57,217,33,39,0,183,22,35,28,0,0,19,32,18
"Santa Cruz",2012,6,129,0,27,0,0,0,26,0,13,0,0,0,0,0,0
"Shasta",2012,6,178,12,35,0,0,0,36,0,12,0,0,0,0,11,0
"Sierra",2012,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Siskiyou",2012,6,47,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"Solano",2012,6,220,14,58,18,0,0,36,0,0,0,0,0,0,0,0
"Sonoma",2012,6,309,19,85,16,0,0,79,0,18,0,0,0,0,15,0
"Stanislaus",2012,6,337,13,68,11,13,0,99,0,17,0,0,0,0,13,0
"Sutter",2012,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tehama",2012,6,44,0,17,0,0,0,0,0,0,0,0,0,0,0,0
"Trinity",2012,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tulare",2012,6,221,0,51,15,0,0,55,0,0,0,0,0,0,0,0
"Tuolumne",2012,6,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ventura",2012,6,381,20,90,19,12,0,89,0,22,0,0,0,0,26,0
"Yolo",2012,6,92,12,24,0,0,0,14,0,0,0,0,0,0,0,0
"Yuba",2012,6,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alameda",2012,7,715,20,182,30,35,11,126,25,26,12,0,0,14,42,0
"Alpine",2012,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amador",2012,7,33,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"Butte",2012,7,162,0,45,0,0,0,30,0,0,0,0,0,0,0,0
"Calaveras",2012,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colusa",2012,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Contra Costa",2012,7,560,49,153,32,14,0,96,11,21,0,0,0,12,34,0
"Del Norte",2012,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Dorado",2012,7,105,0,30,0,0,0,30,0,0,0,0,0,0,0,0
"Fresno",2012,7,505,20,109,16,17,11,116,23,32,0,0,0,13,34,0
"Glenn",2012,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Humboldt",2012,7,110,0,23,0,0,0,22,0,13,0,0,0,0,0,0
"Imperial",2012,7,55,0,16,0,0,0,20,0,0,0,0,0,0,0,0
"Inyo",2012,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kern",2012,7,437,17,96,26,21,0,97,15,33,0,0,0,0,21,0
"Kings",2012,7,51,0,0,0,0,0,18,0,0,0,0,0,0,0,0
"Lake",2012,7,58,0,15,0,0,0,14,0,0,0,0,0,0,0,0
"Lassen",2012,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Los Angeles",2012,7,4717,179,1201,225,177,53,1217,96,185,103,80,44,131,267,64
"Madera",2012,7,70,0,0,0,0,0,17,0,0,0,0,0,0,0,0
"Marin",2012,7,142,12,38,0,0,0,23,0,11,0,0,0,0,0,0
"Mariposa",2012,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mendocino",2012,7,65,0,16,0,0,0,15,0,0,0,0,0,0,0,0
"Merced",2012,7,120,0,28,0,0,0,26,0,0,0,0,0,0,0,0
"Modoc",2012,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mono",2012,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monterey",2012,7,183,0,47,0,0,0,39,0,11,0,0,0,0,13,0
"Napa",2012,7,88,0,22,0,0,0,19,0,0,0,0,0,0,0,0
"Nevada",2012,7,82,0,27,0,0,0,14,0,0,0,0,0,0,0,0
"Orange",2012,7,1556,76,420,64,31,0,378,27,67,22,17,11,50,106,28
"Placer",2012,7,264,14,65,0,0,0,69,0,14,0,0,0,0,18,0
"Plumas",2012,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riverside",2012,7,1118,49,256,67,31,0,312,15,55,34,17,12,15,50,25
"Sacramento",2012,7,870,23,212,33,27,0,191,21,47,12,0,0,22,59,0
"San Benito",2012,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Bernardino",2012,7,1019,24,227,78,34,0,254,16,52,24,0,0,13,48,26
"San Diego",2012,7,1610,82,432,61,59,0,371,25,91,25,0,22,21,76,35
"San Francisco",2012,7,470,0,127,12,0,0,98,0,34,0,0,0,0,29,0
"San Joaquin",2012,7,380,23,84,23,15,0,97,0,12,0,0,0,0,23,0
"San Luis Obispo",2012,7,172,0,39,0,0,0,40,0,0,0,0,0,0,0,0
"San Mateo",2012,7,358,20,93,0,0,0,87,0,20,0,0,0,11,25,0
"Santa Barbara",2012,7,259,16,56,11,0,0,60,0,13,0,0,0,0,20,0
"Santa Clara",2012,7,795,56,206,37,39,0,167,23,32,14,0,0,19,45,13
"Santa Cruz",2012,7,121,0,25,0,0,0,32,0,0,0,0,0,0,0,0
"Shasta",2012,7,182,16,32,15,0,0,30,0,12,0,0,0,0,12,0
"Sierra",2012,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Siskiyou",2012,7,45,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"Solano",2012,7,217,14,63,14,0,0,44,0,0,0,0,0,0,13,0
"Sonoma",2012,7,290,18,82,18,0,0,70,0,17,0,0,0,0,14,0
"Stanislaus",2012,7,333,16,73,23,0,0,91,0,20,0,0,0,0,17,0
"Sutter",2012,7,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tehama",2012,7,48,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Trinity",2012,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tulare",2012,7,197,0,40,11,0,0,49,0,0,0,0,0,0,13,0
"Tuolumne",2012,7,55,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"Ventura",2012,7,374,22,89,18,0,0,90,14,13,0,0,0,0,21,0
"Yolo",2012,7,79,0,20,0,0,0,13,0,0,0,0,0,0,0,0
"Yuba",2012,7,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alameda",2012,8,742,34,166,37,25,18,134,21,33,21,0,0,16,49,0
"Alpine",2012,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amador",2012,8,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butte",2012,8,191,0,46,14,0,0,42,0,0,0,0,0,0,0,0
"Calaveras",2012,8,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colusa",2012,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Contra Costa",2012,8,671,39,176,37,14,0,128,13,30,11,13,12,0,37,12
"Del Norte",2012,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Dorado",2012,8,92,0,17,0,0,0,23,0,11,0,0,0,0,0,0
"Fresno",2012,8,523,24,118,14,19,0,100,23,36,13,11,0,15,28,0
"Glenn",2012,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Humboldt",2012,8,91,0,19,0,0,0,22,0,12,0,0,0,0,0,0
"Imperial",2012,8,68,0,11,0,0,0,21,0,0,0,0,0,0,0,0
"Inyo",2012,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kern",2012,8,384,0,87,31,14,0,91,0,28,0,0,0,0,17,0
"Kings",2012,8,53,0,14,0,0,0,15,0,0,0,0,0,0,0,0
"Lake",2012,8,47,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"Lassen",2012,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Los Angeles",2012,8,4762,197,1217,185,180,65,1249,80,183,122,82,39,152,256,59
"Madera",2012,8,58,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"Marin",2012,8,167,0,53,0,0,0,29,0,16,0,0,0,0,0,0
"Mariposa",2012,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mendocino",2012,8,61,0,0,0,0,0,15,0,0,0,0,0,0,0,0
"Merced",2012,8,108,0,28,0,0,0,21,0,11,0,0,0,0,0,0
"Modoc",2012,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mono",2012,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monterey",2012,8,191,0,47,0,0,0,40,0,12,0,0,0,0,0,0
"Napa",2012,8,88,0,26,0,0,0,15,0,0,0,0,0,0,0,0
"Nevada",2012,8,76,0,17,0,0,0,18,0,0,0,0,0,0,0,0
"Orange",2012,8,1592,93,450,70,57,0,356,19,59,27,28,25,50,86,36
"Placer",2012,8,258,13,65,12,0,0,60,0,17,0,0,0,0,12,0
"Plumas",2012,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riverside",2012,8,1094,54,292,63,37,12,267,19,57,19,15,12,0,49,23
"Sacramento",2012,8,793,28,191,38,23,0,159,16,47,17,0,0,17,58,12
"San Benito",2012,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Bernardino",2012,8,1088,42,253,73,42,13,268,16,55,21,0,0,13,48,15
"San Diego",2012,8,1725,96,445,80,57,12,372,22,96,33,0,22,20,82,39
"San Francisco",2012,8,494,26,131,12,0,0,105,0,33,0,0,0,0,20,0
"San Joaquin",2012,8,395,24,83,20,15,0,97,0,23,0,0,0,0,26,0
"San Luis Obispo",2012,8,154,0,31,12,0,0,32,0,0,0,0,0,0,13,0
"San Mateo",2012,8,350,27,84,18,0,0,99,0,12,0,0,0,0,19,0
"Santa Barbara",2012,8,240,13,70,0,0,0,66,0,0,0,0,0,0,19,0
"Santa Clara",2012,8,768,65,192,27,34,0,178,20,40,14,0,12,0,41,0
"Santa Cruz",2012,8,135,0,37,0,0,0,26,0,0,0,0,0,0,0,0
"Shasta",2012,8,181,0,36,0,0,0,39,0,15,0,0,0,0,11,0
"Sierra",2012,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Siskiyou",2012,8,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solano",2012,8,213,0,66,13,0,0,34,0,0,0,0,0,0,0,0
"Sonoma",2012,8,308,19,70,12,0,0,81,0,0,0,0,0,0,20,0
"Stanislaus",2012,8,330,18,80,15,0,0,106,0,17,0,0,0,0,17,0
"Sutter",2012,8,40,0,17,0,0,0,11,0,0,0,0,0,0,0,0
"Tehama",2012,8,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trinity",2012,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tulare",2012,8,205,0,41,0,0,0,66,0,0,0,0,0,0,11,0
"Tuolumne",2012,8,45,0,14,0,0,0,11,0,0,0,0,0,0,0,0
"Ventura",2012,8,417,15,104,18,16,0,96,0,27,0,0,0,0,27,0
"Yolo",2012,8,89,0,19,0,0,0,19,0,0,0,0,0,0,0,0
"Yuba",2012,8,58,0,0,0,0,0,21,0,0,0,0,0,0,0,0
"Alameda",2012,9,718,31,185,25,28,13,160,17,23,14,0,0,0,40,13
"Alpine",2012,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amador",2012,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butte",2012,9,176,12,42,0,0,0,33,0,0,0,0,0,0,12,0
"Calaveras",2012,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colusa",2012,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Contra Costa",2012,9,562,37,144,24,19,0,119,0,33,0,0,11,0,32,0
"Del Norte",2012,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Dorado",2012,9,82,0,22,0,0,0,21,0,0,0,0,0,0,0,0
"Fresno",2012,9,487,20,86,18,23,12,107,17,36,0,0,0,0,34,0
"Glenn",2012,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Humboldt",2012,9,95,0,22,0,0,0,20,0,0,0,0,0,0,0,0
"Imperial",2012,9,51,0,15,0,0,0,14,0,0,0,0,0,0,0,0
"Inyo",2012,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kern",2012,9,391,16,88,23,13,11,83,0,36,0,0,0,0,18,0
"Kings",2012,9,63,0,13,0,0,0,15,0,0,0,0,0,0,0,0
"Lake",2012,9,43,0,17,0,0,0,0,0,0,0,0,0,0,0,0
"Lassen",2012,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Los Angeles",2012,9,4481,213,1129,193,169,47,1179,94,159,93,62,29,130,259,70
"Madera",2012,9,59,0,16,0,0,0,14,0,0,0,0,0,0,0,0
"Marin",2012,9,142,0,39,0,0,0,31,0,0,0,0,0,0,0,0
"Mariposa",2012,9,21,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"Mendocino",2012,9,55,0,0,0,0,0,19,0,0,0,0,0,0,0,0
"Merced",2012,9,92,0,23,0,0,0,17,0,0,0,0,0,0,0,0
"Modoc",2012,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mono",2012,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monterey",2012,9,155,0,36,0,0,0,30,0,0,0,0,0,0,0,0
"Napa",2012,9,89,0,20,0,0,0,22,0,0,0,0,0,0,0,0
"Nevada",2012,9,69,0,25,0,0,0,15,0,0,0,0,0,0,0,0
"Orange",2012,9,1477,112,348,66,37,0,353,23,72,26,21,30,40,89,30
"Placer",2012,9,252,0,61,13,0,0,62,0,0,0,0,0,0,0,0
"Plumas",2012,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riverside",2012,9,1122,63,272,72,31,0,313,16,51,18,14,0,0,78,16
"Sacramento",2012,9,865,32,208,47,30,12,192,13,33,12,0,0,13,65,19
"San Benito",2012,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Bernardino",2012,9,1032,35,222,89,48,0,212,18,57,27,14,0,0,64,13
"San Diego",2012,9,1620,97,431,68,45,15,361,22,90,31,0,16,29,89,26
"San Francisco",2012,9,452,0,116,0,0,0,112,0,20,0,0,0,0,27,0
"San Joaquin",2012,9,334,30,96,15,17,0,66,0,11,0,0,0,11,14,0
"San Luis Obispo",2012,9,160,0,48,0,0,0,35,0,0,0,0,0,0,14,0
